repo_name,sha_ids
pgjdbc/pgjdbc,10495ef7b25cec8c600360f306a1f0bb577b0b9e
splunk/splunk-library-javalogging,de4d770551b63b4fec1cc1ef097df846d014c548
hoijui/javaosc,2e838fca142f907701ee6b7853df39e03d0fd97c;1d405e2a1d943b06f60e8041dcf8a0ba7828eede
rinde/rinsim,fb6541416235de2804f2ef1e3748204c125ca41c
nroduit/weasis,c6c346132403d8e00c30717537811e272ff466b4
iiordanov/remote-desktop-clients,0ca6860906d04052af0088be6135f80509ec11fe
scala-android/sbt-android,03464c3c9a5c445f87f2ecfb62d22066eb8b9ae5
open-keychain/open-keychain,db3e90821cfff9ac8fe369fdcbbf8ce7e708ba15
apache/jackrabbit-oak,56a513a0866e32d3af8d3c973059c4d30b6f872d;0034c1e1ed9552d749d67b689c509fea1602a5f5;752bc2037a44056b115d91879a44c6397a0b4af9
hazelcast/hazelcast,3e11cbee3b6f8e1b0a6110239fa62017da0cc36d;8aa463a16007637832f632e4ce8813c946890e88;c6d242a773e88d5f7839f08e88b5abbb48e245c9;2c7ba55ab5ee50c648c8273ce1d6ddf9ef8502dd;acbfe61d3299a4a6c16430185843450ebcfe7465
jgrapht/jgrapht,d51fe5d3871fcf59f0deb7ec062014f243d6c463
buildcraft/buildcraft,fcfc95862838d2174ee10ef8cc5948c485f61575
magefree/mage,08d1eb5319f44b3422108d9f8e6ce4d009e84c25;63a0781b87eec07fde372cd85a4a1f6c8138b4a7
sonarsource/sslr,d3587bce9951abef51e361ec550dfff626306629;187d21e148b38b104eeffd1140a2db8aea5b5c27;c95a3ab6c00b52505bd29680b73fb14f97cee1d9
groovy/groovy-eclipse,bd560dc748569c5b9953015d63af442fe301bb9c
sarxos/webcam-capture,f9543cd194382eb8b9a2346ebec218fc3f9f3638
i2p/i2p.i2p,312534b635e5df2f5ac728aa5bdf24b4465eb318;7f472e4ee90f0781b57fa70aaa18a4282ad0f69f
catrobat/catroid,3f8bd46d8d554aa6507e80597de771f2b2a1c46b
universalmediaserver/universalmediaserver,039f53aea07c31e9b204ea90da2f71fe5a263124;b674bdfcef5cab283774e3baa1dbe1bb81426695
ecsec/open-ecard,8ed7db8fd56e5f3ae8e90bc67afa294e3ce3f246
azagniotov/stubby4j,d4d59a92e4a17e310c4a8b22597c6bd0ba4573f7
geonetwork/core-geonetwork,477aa2cdcc7f259c12fcc574bfb4d15cef9d0db3
apache/dubbo,ad72159b0e3ff641e3a08754297c81278b94d94e;003e400b6f9d3d35d264a4aaa6e665ff7a9c237b;897b80de3840c0bc9d9928dc1fb3f28ca8d78cc7
naver/ngrinder,2cec9aead26f6875f8e2ba74f4055c52df841486
orbisgis/orbisgis,03367a4e50d7a9c2d03e723c06608ca168025255
jacorb/jacorb,ba4bc6d5efed6b28916a1ede0aa759ebfdf1742a
jacoco/jacoco,8ff139ae63986345a044660d6a93cb1bfe9d970f
pmd/pmd,2449f6404ec001dde8fe782febb993f262a5ddc1
undertow-io/undertow,852c4aef3458457fb1381d46691d46914d125323
netflix/eureka,6c12040f58977d70df3f870fc499be9fda7d7caf;b7d1c6dde7ca64a4b75d3f0af3be66d93d3507b4
gluck/ikvm,0b16ffeac56f369c8f7f73837bf73abcd520f234
prestodb/presto,f8c51c3adc5bc341e9e598e0ffd73483e508d875
robo-code/robocode,d06ac14ad1f9bb4f1f224ed06b3362205d57b12b
naver/yobi,3532ab77a82a0a0506be217cd0b099875b8cb920
uwescience/myria,81417723da1253de0d0d614fa46f246b87ab46f7;91f6f2be33f2c8c84066080fc4e315503dba2440;c83dbc58b6dbb708e3672948b3011fb06a881f11
jeremylong/dependencycheck,e6707c65a57c200f3d97f6e9af7e83ac9b062471
sonarsource/sonar-java,78afb8edae99f84194a9341f8c8d0e5ccb1d98ce;75eac2f970882469bf2afc12c82258aca00f0274
jenkinsci/ghprb-plugin,2dd65219322995c8941c1ca8c05be3b7fd0d26b5
wyvernlang/wyvern,7f9c0ee6ff71ac36a05717ba7a216220246e584e
jcodec/jcodec,e67d010f8c1049cca85b82e0e8fed9985e6e0dcc;f84fb212e588003994b68d0436e7273584c58efb
inl/blacklab,387bdec9bf782746d413a4b81aad921bea74fe24
openrefine/openrefine,c4b0ff6bea1278032855c56bb8c6393619c42acd
spring-projects/spring-boot,9ee6303876cb8046169e95ce6a0098f61cdb4739;ffdc9f0ff3927057f00c6ca2b098c4280efda090;a85e27c7cd391d4cbe1297857a8b4cbd0000cc69;f2ca2533d51281f4c27da8231e8ab036e8f88310
vaadin/framework,7e465de500430c17dd44deaa667c9218e5af77f2
apache/druid,c23622790568e1fca2eeaae308903d3199093ece
reddwarf-nextgen/reddwarf,09d5c6733d3b8dd085ecaa0c4a8c62b481ec78ad
kijiproject/kiji-schema,53dd81b0423aabe8cb38870519db04edfddedbfd
haiwen/seadroid,a99b08affb9f8178ac4b868e402f9ad0370652eb;78b270a4106cde7096315f1cf38575b2f386113d
mulesoft/mule,6200f299c3fff1770285797279bb84dba2bb9eb8;5d0ea0081c9d6db2e14e218dbf397c5fac96e61f;3f5de2198e720be07c231d139830400a629f9e83;062d3d02831990c3336d3430ea1140cae678a792
orientechnologies/orientdb,f7d41aba467656666dca61fe3b93f53fb0617bce;1b5d55146b2298a081768c92cb7799bc0e8dd8b1;8e3e5adc78396a6f2a8d5e38556b96fc5f227c84
camunda/camunda-bpm-platform,c0c5fad03ae58303dacae762859dbca9e8c46499
paranoidandroid/android_frameworks_base,3f3913550c10792edb8aecf66cc83c3db5c8b311;7bdb096289d10983f6fe711ecd598e350c9a9587;7c12eee6439435d7f29d49cab76edaedbd809460;8068618ebed021c445db0919843cdb6b9b9e35b5;ed7e00729f78d11107f0e9a7f0559dfe4be6b560
seleniumhq/selenium,6c20e8f868d8575dcfb63bb95271c9d9ebdfe466
sculptor/sculptor,65729789fc26b738aa2dc84fb547de00c8e23251
apache/tomee,4cfe91bba7b22d5d00cbc7b60448c24a81f9164a
slimeknights/tinkersconstruct,bb70b06b98d536c579e3182f448e1165267f5f63
mybatis/mybatis-3,98044678f542a4c3909dc5759d8d5bacc917df03;4d7ba34b05567c6dfb32c9aa503e96dcd137512c
zfdang/asm-android-client-for-newsmth,a83c1eb05d5b493cb6035c1f3fb42bf867841082
yegor256/rultor,6de8944abfe0d82dbe9400190321b03e0aac11e6
btrplace/scheduler,cf92dcd3f5773e6e1f301c9f7857312ca7320359
apache/commons-configuration,1b7dc86bc021caa391e578a81e99b089b30c341b;f58927e67ac66249ea160012366986a7942c81e1
ccavanaugh/jgnash,3962a43ad05bed779eefb8a37cabe0d725887186;798d03545f096e4839ec17e04cfbb91d43fe0cb5
splicemachine/spliceengine,516e296548c6ece0add7a4a6719fcb75613ee118
mine-and-blade-admin/battlegear2,61dfa235540c5753409f8470e297c3a9fb4ceac1
learnlib/automatalib,8d9bf32a2160eac9632d5af89b408fcd71d25fea
dcache/dcache,f1e1006fe113e07372f84c0e7792ace072aa06b2;549f905a88ecbf90bbd86656d7107be81e1333f8;a1ea2d459ff24707cfcb707a5892f5310d90bcc9;ab82cacff86dc1999d15231be3725a5e90076cf0
caleydo/caleydo,7fa63c9fffaa6e4d33f4c01996eabfcc8f7d1bc3
gwtproject/gwt,79579e2e2a90f340dfe63fa46981a08464580436
stratosphere/stratosphere,9d39e961c9dcb7cbbd76c0b3f059379af82d8961
threadly/threadly,2085bcc023b20be19689d5f9da6e80a4dd21a267
ripe-ncc/whois,4b1af6637ac7e0ad4f3e74bafc2ae251cad3993b
