Name,FullName,URL,Stars,Commits
COLA,alibaba/COLA,https://github.com/alibaba/COLA,10975,3635
FlycoTabLayout,H07000223/FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,10962,2620
interview,mission-peace/interview,https://github.com/mission-peace/interview,10953,1200
FileDownloader,lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,10936,40720
vlayout,alibaba/vlayout,https://github.com/alibaba/vlayout,10812,1726
languagetool,languagetool-org/languagetool,https://github.com/languagetool-org/languagetool,10772,5227090
doris,apache/doris,https://github.com/apache/doris,10771,669014
SmarterStreaming,daniulive/SmarterStreaming,https://github.com/daniulive/SmarterStreaming,10749,6823291
android-interview-questions,amitshekhariitbhu/android-interview-questions,https://github.com/amitshekhariitbhu/android-interview-questions,10727,1485
newbee-mall,newbee-ltd/newbee-mall,https://github.com/newbee-ltd/newbee-mall,10672,36232
android-async-http,android-async-http/android-async-http,https://github.com/android-async-http/android-async-http,10640,3063
metersphere,metersphere/metersphere,https://github.com/metersphere/metersphere,10638,353699
javapoet,square/javapoet,https://github.com/square/javapoet,10609,1936
okhttp-OkGo,jeasonlzy/okhttp-OkGo,https://github.com/jeasonlzy/okhttp-OkGo,10583,84860
platform_frameworks_base,aosp-mirror/platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base,10561,5721078
cas,apereo/cas,https://github.com/apereo/cas,10548,354727
jsoup,jhy/jsoup,https://github.com/jhy/jsoup,10507,5055
RxPermissions,tbruyelle/RxPermissions,https://github.com/tbruyelle/RxPermissions,10475,587
JiaoZiVideoPlayer,lipangit/JiaoZiVideoPlayer,https://github.com/lipangit/JiaoZiVideoPlayer,10460,143896
cryptomator,cryptomator/cryptomator,https://github.com/cryptomator/cryptomator,10406,23048
auto,google/auto,https://github.com/google/auto,10320,37771
OpenRefine,OpenRefine/OpenRefine,https://github.com/OpenRefine/OpenRefine,10253,401706
MVPArms,JessYanCoding/MVPArms,https://github.com/JessYanCoding/MVPArms,10250,5963
clojure,clojure/clojure,https://github.com/clojure/clojure,10231,17387
Java-WebSocket,TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,10190,4142
ViewPagerIndicator,JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,10153,8657
jvm,doocs/jvm,https://github.com/doocs/jvm,10031,65958
glide-transformations,wasabeef/glide-transformations,https://github.com/wasabeef/glide-transformations,9847,26509
LiTiaotiao-Custom-Rules,Snoopy1866/LiTiaotiao-Custom-Rules,https://github.com/Snoopy1866/LiTiaotiao-Custom-Rules,9835,76174
Activiti,Activiti/Activiti,https://github.com/Activiti/Activiti,9806,122149
easypermissions,googlesamples/easypermissions,https://github.com/googlesamples/easypermissions,9789,635
VirtualApp,asLody/VirtualApp,https://github.com/asLody/VirtualApp,9758,35205
paascloud-master,paascloud/paascloud-master,https://github.com/paascloud/paascloud-master,9745,16083
Fragmentation,YoKeyword/Fragmentation,https://github.com/YoKeyword/Fragmentation,9716,29343
AVLoadingIndicatorView,HarlonWang/AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,9712,14399
jjwt,jwtk/jjwt,https://github.com/jwtk/jjwt,9678,3354
react-native-camera,react-native-camera/react-native-camera,https://github.com/react-native-camera/react-native-camera,9639,17586
